,title,title_label,description,description_label
0,결국  증세론  먼저 꺼내든  증세없는  기본소득  불가능 ,0,   발 경제 위기 대응을 위해 돈 쓸 곳은 늘어났지만  국세 수입은 줄어들면서 정부의 재정 마련에 대한 우려가 컸다  이 때문에 한국개발원  등 국책연구기관들은 증세를 화두로 꺼내들었지만  정부 여당은 증세에  ,0
1,창녕군   창녕형 비대면 선별진료소 운영,0,  지난  일 창녕군보건소 앞에 설치한 선별진료소에서 검사자가 체온을 측정하고 있다 사진제공 창녕군청      장기화 대비 비대면 선별진료 도입 경남 창녕군은 지난  월  일 도내 최초로     선별진료소  ,0
2,이재갑 장관  고용안정지원금 서울센터 방문,0, 이재갑 고용노동부 장관은 월 일 수 시에   긴급 고용안정지원금 서울 센터 서울 중구 를 방문했다  이번 현장 방문은   긴급 고용안정지원금 신청을 시작한 지 이틀 만에 약 만건  ,0
3, 부산행 반도 로 이어지는 한국형 좀비 세계관  칸의 선택 받았다,0,하지만 올해 신종    바이러스 감염증    여파로 오프라인 행사를 진행하지 않게 되었고  공식 채널   을 통해         명칭의 초청작 리스트를 공개했다  한편  반도 는  월 국내외  ,0
4,국내  대 항만  월 물동량  인천항만 상승곡선 ,1,전국 컨테이너 처리량  만  국내 항만은  월 들어 신종    바이러스 감염증    사태가 본격화되자 물동량이 줄어들며 부진에 허덕이고 있다  그 와중에 인천항은 중국 항만 정상화에 따라  ,0
5,경기도의회 농정해양위  농민기본소득 도입 이재명 지사와 집행부에 강력 촉구,0,한편     로 인한 해외의 식재료 사재기에서 보듯이 국민들의 먹거리를 안정적으로 생산하는 것은  포스트    의 주요과제로 부각되고 있어 농민기본소득 도입을 통해 안정적인 생산기반을 확충하는 것은  ,0
6,이용빈 원내부대표     대응 의료진 노동자 건강권 보장해야 ,0,이용빈 의원실 제공 이용빈 민주당 원내부대표가  일     상시화  장기화에 따라 생활방역 강화하고  없다 면서     현장을 지켰던 의료진의 열악한 근무환경  부당 처우  과중한 노동강도  인력부족 등의 문제가  ,0
7,   로 인해 변한 원광한의대 경혈학 실습 풍경,1,    사태가 지속되면서 한의대 강의 역시 대부분 비대면으로 이뤄지고 있다  그렇다면 대면 실습이 불가피한 강의실의 풍경은 예전과 어떻게 달라졌을까  현재    로 인해 대부분의 학과수업이 비대면으로  ,0
8,제 회 부산국제영화제 공식 상영작 모집  공식 ,0,전 세계가    로 전례 없는 위기를 겪고 있으며  이로 인해 국내외 영화계도 예상 못한 타격을 받고 있다  부산국제영화제는 이러한 국내외 상황을 인지하고 예의주시하며 정부 방침과 권고를 준수할 것이다  ,0
9,수도권     확진자 산발적으로 늘어 하루 새  명 증가,0,서울과 경기  인천 등 수도권에서 개척교회발  신종    바이러스 감염증    확진자가 산발적으로 증가하는 모양새다  이들 중 감염경로를 알지 못하는 확진자도 늘고 있어 방역당국이 긴장하고 있다   일  ,0
10,동작구  전통시장 무료 배송서비스 사업 실시,0,구는 신종    바이러스 감염증    장기화로 전통시장 상인들이 매출감소 등 점포 운영에 어려움을 겪자  억여 원을 투입해 온 오프라인 무료 배송서비스 운영을 지원하고 있다  지원 대상은 남성사계시장  ,0
11,서울 건강용품 세미나서 무더기 확진 명 검사,0,수도권을 중심으로     확산세가 이어지는 가운데  주로 노인들이 참석한 것으로 알려진 다단계식  서울시에 따르면 오늘 오전  시 기준     확진자는  명으로   명 늘었으며 감염경로는 수도권  ,0
12,중국 굴착기 판매량 상승에도 두산인프라코어 긴장하는 이유는,1,판매량이 급증한 이유는 신종    바이러스 감염증    확산세가 주춤하기 때문이다  올해 초만 하더라도 중국은     여파로 제대로 된 생산활동도 전개하지 못했다  하지만 시간이 지나면서    가  ,0
13, 포스트     대비 투자 잰걸음 나서는 게임사,0, 이승원 넷마블 대표  신종    바이러스 감염증    확산으로 언택트 비대면  문화가 차세대 미래 먹거리로 부상되며   포스트    를 준비하는 게임사가 늘고 있다  게임사의 산업 구조 개편도    를  ,0
14,김포 혁신교육지구 사업  특수교육대상자를 위한 교육과정 지원,0,정하영 김포시장은  혁신교육지구 사업 내 특수교육 대상자를 위한 사업이 별도로 편성돼 소외되는 학생들이 줄었다 면서    로 인해 교육과정 운영이 쉽지 않을 것으로 판단되지만  학생들의 안전을 위한 방역과  ,0
15, 속보  군포시청  서울시  리치웨이      확진자 동선 공개  군포로 번길 ,0,군포시청  서울시  리치웨이      확진자 동선 공개  군포로 번길 거주 자료  군포시청  군포시청이 서울시  리치웨이      확진자의 동선을 공개했다   일 군포시청은 공식 블로그를 통해  서울시  ,0
16,가맹점과  상생나선  카드사,1,  카드사들이      바이러스  사태로 피해를 입은 소상공인을 위한 가맹점 수수료 포인트 적립 서비스  주말 대출 서비스 등 여러가지 지원 사격에 나서고 있다  사진 픽사베이   데일리동방  국내  ,0
17,질병관리본부  청  승격에도 줄어든 입지 복지부  전문성 독립성 확보가 ,0,중앙재난안전대책본부 이하 중대본 는  일 오전  시 정부세종청사에서     정례 브리핑을 개최하고      사태로 감염병 관리 대응이 중요해지자 질병관리본부에 전문성을 강화하겠다는 취지다  그러나 복수  ,0
