,title,title_label,description,description_label
0, 모바일  메인 홍보 모델로    설현  선정,0,한편   설현 은 최근     바이러스를 다룬     시리즈   세계적 유행 에서 다큐멘터리 내레이션에 처음 도전해 호평을 받았으며   의 새 드라마  낮과 밤  출연을 검토중이다  게임과 이벤트에 대한  ,1
1,김병민  기본소득도 필요하면 논의 테이블에 올려야   인터뷰 ,0,변화의 핵심 중에서는 우리 사회가 신종    바이러스 감염증   의 위기를 마주하고 있다  언제 끝이날 지 또 앞으로 어떠한 미래가 펼치질 지 모른다  국가가 나서서 국민의 어려움을 해결해 줘야 한다  저희  ,1
2, 년만 첫  불허 에도 홍콩  톈안문 추모 촛불,1,경찰은     감염이 우려된다며  명 이상을 모이는 집회를 봉쇄해왔고 지난 홍콩 국가보안법 시위 때도  하지만 홍콩 경찰은     확산을 막는다며 올해는 이를 불허했다  이런 상황은  년 만에 처음이다  주최  ,1
3,경산시 농산물 드라이브 스루 특별할인 판매행사 개최,0,이번 행사는     확대 장기화로 인해 지역소비 판로에 어려움을 겪고 있는 농가 돕기 등 소비촉진을 위해 마련됐다  행사에는 계란 구  연근  햇감자  새송이  방울토마토  깻잎  햇양파  오이고추 등  개 품목의  ,1
4,당신이 아는 미술  시장이 아는 미술   한국 현대 미술 시장을 이끄는 작가,0,최근 갤러리 현대 창업  주년 기념전에 이 작품이 전시되자    의 영향에도 마스크를 착용한 관람객의  미술계 트렌드 그리고 한국 미술 시장 글 정태희 서울옥션 스페셜리스트 세계 경기 침체와     여파로  ,1
5,  상반기 신입 및 경력직 공채 시행,0,    감안해  차 면접  비대면 역량검사  도입 국내 최대 치킨 프랜차이즈인 제너시스 비비큐 회장    채용관계자는  는 한국을 대표하는 책임감 있는 브랜드로서    로 침체된 채용 분위기  ,1
6,미소짓는 의료진,1, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종    바이러스 감염증    환자 진료를 위해 수고해 온 의료진들이 가수 폴 킴의 공연을 보고 있다   뉴스 ,1
7,휴넷  리더십 게임러닝 프로그램  아르고  출시,0,플립러닝은 온라인 학습 후 교실에서 토론 및 심화학습을 거쳐  거꾸로 교실 이라고도 불리며  포스트     시대 교육 방식으로 주목받고 있다  아르고 리더십 편은 다양한 상황에 따라 게임을 통해 리더십 유형을  ,1
8,광주 서구 양동  민 관 협력으로 주거환경 개선,1,특히 오래된 도배 장판 및 침대  장롱 등 가구 교체와 함께     예방을 위한 방역도 진행하는 등 쾌적한 주거환경 조성에 힘썼다  변미자 양동 동장은  어려운 이웃을 위해 봉사에 나서준 이들에게 감사하다 며  ,1
9,손흥민의 고백   주간의 군사훈련  힘들지만 즐겼다 ,1,    사태가 터진 가운데 병영생활을 한 손흥민의 경험은 영국에서 화제다  손흥민은  첫 날은 서로 잘 몰라서 서먹했지만 금방 친해졌다   명이서 한 방을 썼더니 정말 친해졌다  서로 돕고 호흡이 좋았다 고  ,1
10,   카타르  선 수주  문 대통령 경제외교 결실 ,1,청와대는  일  해외에서 낭보가 이어지고 있다 며  문재인 대통령이 포스트     시대 경제위기  이어  정상회담을 통해 양국 간 협력을 에너지 외에 의료    등으로 확장했고  최근 카타르에       관련  ,1
11, 유통 나누기 세상 더하기  세븐일레븐  유치원 통학차량에 공기청정기 설치 ,1,맥도날드는    로 방역 작업에 힘쓰고 있는 대구 지하철 청소 근로자에게 빅맥과 커피를 증정했다  패션업계도 나눔 활동에 동참한다  코오롱인더스트리 임직원들은 성과 포상금 중  만원을    로 어려움을  ,1
12, 함양군 브리핑  명품 함양양파 특판  서울서 인기몰이 등,1,  명품 함양양파 특판전 모습   사진제공 함양군    함양군   일 롯데마트 서울역점 양파소비촉진 판촉행사     로 지친 농심 위로 함양군이     장기화에 따라 소비 위축 등 판매에 어려움을 겪고 있는  ,1
13, 이십세기  민아  룰라 때문에 다른 가수들 앨범 일정 미뤄 ,0,지난 주 방송된      이십세기 힛트송   회에서는  노래방 대리만족 방구석에서 즐기는 힛 트쏭  을 주제로     로 노래방 대신 집에서 흥을 폭발시켜줄 수 있는 과거 힛트송으로 시청자들의 무료함을 달랬다  ,1
14, 유플러스   분기 개인용   글라스  출시,0, 유플러스는    로 인한 언택트 시대에 맞춰  일 엔리얼과 올쇼 를 통해   글라스 온라인 애플리케이션 앱  개발 세미나를 개최한다    글라스를 활용  다양한   앱을 개발할 수 있는   생태계를 만들기  ,1
15,울릉군 신청사 건립 본격 착수   입지선정위원회  개최,0,김병수 울릉군수는  가용부지가 절대부족한 우리 울릉군 특성상 신청사 부지 선정은 우리 군 발전의 미래  년 대계를 결정할 매우 중요한 사안이다 며     등으로 다소 지연됐지만 울릉군 행정력과  ,1
16,   선  척 수주   방역 신뢰 결과물 ,0,청와대가  일 카타르  액화천연가스  운반선 수주를 지목해     사태 극복 과정에서 쌓인  방역에  특히 최근 카타르에     관련 진단장비 공급과  방역 경험 공유 등 양국 간 협력의 범위를 확대했다 고  ,1
17,성빈센트병원  혈액난 극복 위한 교직원 헌혈 행사 개최,1,이날 행사는     장기화에 따라 헌혈이 감소해 혈액 수급에 어려움이 지속됨에 따라 혈액 재고량 안정화 및 수혈이 필요한 환우들에게 힘을 보태기 위해 갖게 됐다  행사는 대한적십자사 경기혈액원에서 헌혈차량을  ,1
18,    의료진  공연보며 힘내세요 ,0, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종    바이러스 감염증    환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다   뉴스 ,1
19,성남 판교동 건물 근무  대 남성  일     확진,0,경기 성남시 판교동의 한 건물에서 근무 중인  대 남성  씨가  일     양성 판정을 받았다  이 건물에는 학원이 있어 원생  명과 직원  명에 대해 시는 전수조사를 실시하기로 했다  이어 학원과 편의점  ,1
20,경기도  유흥업소도 최고  만원 지역화폐로 지원,1,경기도가 신종    바이러스감염증    사태의 장기화로 어려움을 겪는 취약노동자와 영세사업자에 대한 긴급 지원에 나섰다  택배기사 등 취약노동자에게는  인당  만원씩 소득손실 보상금을  집합금지  ,1
21,  콘텐츠마켓     온라인 개최 내달  일부터 한 달간,0,올해  는    에 따른 대면접촉이 어려운 상황 속에서 국내 콘텐츠 산업군의 활로모색을  추진하여      로 침체된 콘텐츠 산업 발전에 동력을 부여하고자 한다 라며     에 참여하는 국내외  ,1
22,전북도  농산시책평가 전국 위 시상금  천만원 전액 기부,0,송하진 도지사는     등 지역사회를 위해 공무원들이 앞장서서 착한 기부 릴레이를 하고 있다 며 특히  천년 전북의 미래 발전을 책임질 지역인재 양성을 위해 깊은 관심을 가지고 장학사업에 동참하는 것은  ,1
23,정읍시  시청 종합민원실 방문 시 마스크 의무 착용  강화 ,0,최근 이태원 클럽발과 부천 쿠팡물류센터 등     집단감염 사태가 발생한 만큼 다중 밀집 공간 감염을  의회관 출입문에 설치된 열화상카메라도 지속 운영해     유입 차단에 총력을 다한다는 방침이다  시  ,1
24,중기중앙회 신세계백화점  중소기업 소상공인 특별전,1,   로 어려움을 겪는 중소기업과 소상공인의 판로개척에 도움을 줄 것으로 중기중앙회는 기대했다  추문갑 중기중앙회 경제정책본부장은  백화점 입점이 어려운 중소기업 소상공인에게 이번 특별전은 새로운  ,1
25,김포시  국내 최초 버스 스마트 발열체크기 도입,0,정하영 시장은  장기화 되고 있는    로부터 우리 스스로를 지키기 위해서는 생활 속 방역이 일상화 돼야 한다 며  이번 발열체크기 도입으로 시민들께서 더욱 안심하고 대중교통을 이용하실 수 있을 것 같다 고  ,1
26,평택시 새마을지도자 통복동협의회   년 방역발대식 개최,1,표광오 통복동장     확산의 위협이 사라지지 않은 상황에서 방역대원 모두 시민의 건강지킴이라는 자부심을 가지고 민 관이 굳건한 방역 협력체계를 구축하며 감염병 없는 건강한 통복동이 될 수 있도록 적극  ,1
